address,zip,lat_long,neighborhood,status
35 central park north #4c in south harlem,10026,40.7979604:-73.9509988,Central Harlem,No Claim
802 ninth avenue #2d in  hell's kitchen,10019,40.76543789999999:-73.9872039,Chelsea and Clinton,No Claim
75 bleecker street #3b in  greenwich village,10012,40.7267827:-73.9960789,Greenwich Village and Soho,No Claim
23-05 29th street #4d in ditmars-steinway,11105,40.7747474:-73.9139417,Northwest Queens,Claim
30-95 30th street #1b in astoria,11102,40.7649023:-73.9239422,Northwest Queens,Claim
38 orchard street #3f in chinatown,10002,40.7158943:-73.9912444,Lower East Side,Claim
51-35 reeder street #326 in elmhurst,11373,40.7373303:-73.8781333,West Queens,Claim
440 audubon avenue #40 in fort george,10040,40.8529184:-73.9296261,Inwood and Washington Heights,Claim
173 ludlow street #4a in  lower east side,10002,40.7218512:-73.98770900000001,Lower East Side,Claim
219 mulberry street #10 in nolita,10012,40.7223288:-73.9962484,Greenwich Village and Soho,No Claim
559 west 190th street #e5 in fort george,10040,40.8547314:-73.9285262,Inwood and Washington Heights,No Claim
1269 first avenue #5e in lenox hill,10065,40.7655954:-73.95796059999999,Upper East Side,Claim
90 convent avenue #42a in west harlem,10027,40.8165817:-73.95308229999999,Central Harlem,No Claim
171 east 101st street #13 in east harlem,10029,40.7889839:-73.94794499999999,East Harlem,No Claim
348 west 145th street #2r in hamilton heights,10039,40.82365679999999:-73.9443057,Central Harlem,No Claim
25-55 32nd street #3 in astoria,11102,40.7685135:-73.9185071,Northwest Queens,No Claim
10 west 76th street #4b in  upper west side,10023,40.7789201:-73.9749573,Upper West Side,No Claim
178 east 7th street #3c in east village,10009,40.7250765:-73.9816951,Lower East Side,No Claim
21 essex street #3 in chinatown,10002,40.7153806:-73.9900742,Lower East Side,No Claim
110 west 129th street #b1 in central harlem,10027,40.8104223:-73.94432119999999,Central Harlem,No Claim
471 carroll street #1l in gowanus,11215,40.6772433:-73.98642339999999,Northwest Brooklyn,No Claim
